# Wavelength(micron) (rp/rs)^2 Error_Bars
1.026623996708334552e+01 2.933521102513761067e-03 1.000000000000000082e-05
1.023080742297014112e+01 2.936513371613406250e-03 1.000000000000000082e-05
1.019549716950923290e+01 2.936190914331743545e-03 1.000000000000000082e-05
1.016030878463093501e+01 2.931033662591756624e-03 1.000000000000000082e-05
1.012524184772224167e+01 2.930820794360680312e-03 1.000000000000000082e-05
1.009029593962184634e+01 2.926585760120819363e-03 1.000000000000000082e-05
1.005547064261512524e+01 2.926166697140827281e-03 1.000000000000000082e-05
1.002076554042912804e+01 2.924130373712658087e-03 1.000000000000000082e-05
9.986180218227644900e+00 2.919448808193477688e-03 1.000000000000000082e-05
9.951714262606182970e+00 2.920633858471556165e-03 1.000000000000000082e-05
9.917367261587070715e+00 2.926675998811032256e-03 1.000000000000000082e-05
9.883138804614533868e+00 2.923008816536057028e-03 1.000000000000000082e-05
9.849028482549758934e+00 2.924085508954527273e-03 1.000000000000000082e-05
9.815035887666034853e+00 2.922746241951761515e-03 1.000000000000000082e-05
9.781160613643852031e+00 2.930535267385727879e-03 1.000000000000000082e-05
9.747402255566061768e+00 2.931001806995817745e-03 1.000000000000000082e-05
9.713760409913039240e+00 2.933593859608913095e-03 1.000000000000000082e-05
9.680234674557841146e+00 2.934647422065950195e-03 1.000000000000000082e-05
9.646824648761421983e+00 2.936297328343944087e-03 1.000000000000000082e-05
9.613529933167834329e+00 2.940796455488153566e-03 1.000000000000000082e-05
9.580350129799432679e+00 2.939030183687774654e-03 1.000000000000000082e-05
9.547284842052169651e+00 2.937585947939452564e-03 1.000000000000000082e-05
9.514333674690796272e+00 2.945714842795155164e-03 1.000000000000000082e-05
9.481496233844181276e+00 2.943525824706309975e-03 1.000000000000000082e-05
9.448772127000580667e+00 2.947070808941290240e-03 1.000000000000000082e-05
9.416160963002946360e+00 2.941523556167647668e-03 1.000000000000000082e-05
9.383662352044270349e+00 2.939182628583563058e-03 1.000000000000000082e-05
9.351275905662896903e+00 2.940799379271011749e-03 1.000000000000000082e-05
9.319001236737900484e+00 2.949717530902545588e-03 1.000000000000000082e-05
9.286837959484453009e+00 2.945697517311269935e-03 1.000000000000000082e-05
9.254785689449198216e+00 2.944326581421536065e-03 1.000000000000000082e-05
9.222844043505689982e+00 2.944602107704282715e-03 1.000000000000000082e-05
9.191012639849768462e+00 2.953426319706409231e-03 1.000000000000000082e-05
9.159291097995042819e+00 2.946018162427677112e-03 1.000000000000000082e-05
9.127679038768299336e+00 2.940808911236572794e-03 1.000000000000000082e-05
9.096176084304994802e+00 2.935162684385257507e-03 1.000000000000000082e-05
