# Wavelength(micron) (rp/rs)^2 Error_Bars
9.254785689449198216e+00 2.975672298968941136e-03 1.000000000000000082e-05
9.222844043505689982e+00 2.976462869085662842e-03 1.000000000000000082e-05
9.191012639849768462e+00 2.972858055307106215e-03 1.000000000000000082e-05
9.159291097995042819e+00 2.974006281939650404e-03 1.000000000000000082e-05
9.127679038768299336e+00 2.968767276824414714e-03 1.000000000000000082e-05
9.096176084304994802e+00 2.964817226490309380e-03 1.000000000000000082e-05
9.064781858044746343e+00 2.960370804881010728e-03 1.000000000000000082e-05
9.033495984726799932e+00 2.958151358829178620e-03 1.000000000000000082e-05
9.002318090385584171e+00 2.955450469549088070e-03 1.000000000000000082e-05
8.971247802346201894e+00 2.954484834590427426e-03 1.000000000000000082e-05
8.940284749219994609e+00 2.954907935885965186e-03 1.000000000000000082e-05
8.909428560900121141e+00 2.955936458592353048e-03 1.000000000000000082e-05
8.878678868557084769e+00 2.953549608096137438e-03 1.000000000000000082e-05
8.848035304634381149e+00 2.953307941032913119e-03 1.000000000000000082e-05
8.817497502844057422e+00 2.954118071306137579e-03 1.000000000000000082e-05
8.787065098162369026e+00 2.953281874818905126e-03 1.000000000000000082e-05
8.756737726825392087e+00 2.952678123504321166e-03 1.000000000000000082e-05
8.726515026324683788e+00 2.952235846495390378e-03 1.000000000000000082e-05
8.696396635402964037e+00 2.952531549850184473e-03 1.000000000000000082e-05
8.666382194049765175e+00 2.952462065813537661e-03 1.000000000000000082e-05
8.636471343497165165e+00 2.951252509290360447e-03 1.000000000000000082e-05
8.606663726215465715e+00 2.951117373823099709e-03 1.000000000000000082e-05
8.576958985908939681e+00 2.952085819404674013e-03 1.000000000000000082e-05
8.547356767511573139e+00 2.951369284752754056e-03 1.000000000000000082e-05
8.517856717182802129e+00 2.954574151797118020e-03 1.000000000000000082e-05
8.488458482303309793e+00 2.950945746533488630e-03 1.000000000000000082e-05
8.459161711470787992e+00 2.951931415689538433e-03 1.000000000000000082e-05
8.429966054495741545e+00 2.951932782623887565e-03 1.000000000000000082e-05
8.400871162397324454e+00 2.952493153789767857e-03 1.000000000000000082e-05
8.371876687399131711e+00 2.950944598433822078e-03 1.000000000000000082e-05
8.342982282925079929e+00 2.953320145703622942e-03 1.000000000000000082e-05
8.314187603595231124e+00 2.954806117257359997e-03 1.000000000000000082e-05
8.285492305221684006e+00 2.948508198152775296e-03 1.000000000000000082e-05
8.256896044804463486e+00 2.960111833248465531e-03 1.000000000000000082e-05
