CENTRALWAVELNG,PL_TRANDEP,PL_TRANDEPERR
2.89023,0.3359,0.03255
2.89091,0.18359,0.0315
2.89159,0.29388,0.03098
2.89227,0.29736,0.03066
2.89295,0.25188,0.03206
2.89363,0.28385,0.0326
2.89499,0.27553,0.03079
2.89566,0.33494,0.03072
2.89635,0.33778,0.03189
2.89702,0.27893,0.0321
2.8977,0.30069,0.03171
2.89838,0.29192,0.03135
2.89906,0.2679,0.03041
2.89974,0.31128,0.03219
2.90042,0.26433,0.03088
2.9011,0.26687,0.03146
2.90178,0.2433,0.03111
2.90245,0.29199,0.03082
2.90313,0.26126,0.03083
2.90449,0.31492,0.03014
2.90517,0.28955,0.03161
2.90585,0.24326,0.03097
2.90653,0.3253,0.03066
2.90721,0.2901,0.03135
2.90789,0.29602,0.03266
2.90856,0.32169,0.03299
2.90924,0.28122,0.03138
2.90992,0.24742,0.03169
2.9106,0.27584,0.03157
2.91128,0.32822,0.02962
2.91196,0.24332,0.03011
2.91264,0.24925,0.02864
2.914,0.31289,0.02997
2.91467,0.27757,0.02948
2.91535,0.29799,0.03111
2.91603,0.29682,0.02994
2.91671,0.31056,0.03022
2.91739,0.28878,0.02942
2.91807,0.29414,0.03016
2.91875,0.26401,0.02915
2.91943,0.22652,0.02941
2.92011,0.27084,0.02926
2.92079,0.25219,0.02935
2.92147,0.2744,0.0299
2.92214,0.2959,0.03082
2.92282,0.31542,0.03044
2.9235,0.24265,0.03145
2.92418,0.2647,0.02988
2.92486,0.31279,0.03065
2.92554,0.30512,0.03167
2.92622,0.26232,0.02928
2.9269,0.27673,0.0304
2.92757,0.2715,0.02901
2.92825,0.30144,0.03094
2.92893,0.28022,0.03094
2.92961,0.26338,0.02982
2.93029,0.28388,0.0294
2.93097,0.31914,0.02849
2.93165,0.30142,0.02902
2.93233,0.2822,0.02913
2.93301,0.29172,0.02886
2.93368,0.27691,0.02912
2.93436,0.24765,0.02794
2.93504,0.26736,0.02979
2.93572,0.33251,0.02901
2.9364,0.27156,0.02838
2.93708,0.29448,0.0292
2.93776,0.32375,0.0315
2.93844,0.25591,0.02911
2.93912,0.28104,0.02868
2.9398,0.30698,0.02881
2.94047,0.29294,0.02909
2.94115,0.36801,0.02992
2.94183,0.26033,0.02823
2.94251,0.30981,0.02775
2.94319,0.28304,0.02791
2.94387,0.29959,0.02886
2.94455,0.25875,0.0307
2.94522,0.26027,0.0304
2.9459,0.30608,0.02717
2.94658,0.27238,0.02891
2.94726,0.28785,0.02945
2.94794,0.3039,0.02917
2.94862,0.3321,0.02997
2.9493,0.2629,0.02827
2.94997,0.27423,0.0282
2.95065,0.28389,0.02669
2.95133,0.31754,0.02771
2.95201,0.30188,0.02881
2.95269,0.25551,0.02812
2.95337,0.31092,0.02846
2.95405,0.26132,0.02795
2.95472,0.32924,0.02808
2.9554,0.30079,0.02877
2.95608,0.33847,0.02835
2.95676,0.32367,0.02848
2.95744,0.28564,0.02688
2.95812,0.36,0.02724
2.9588,0.32246,0.02821
2.95948,0.30329,0.02876
2.96016,0.3069,0.02872
2.96083,0.25805,0.02877
2.96151,0.25659,0.02789
2.96219,0.30097,0.02832
2.96287,0.30274,0.02801
2.96355,0.28437,0.02891
2.96423,0.3202,0.02828
2.96491,0.28962,0.02877
2.96627,0.261,0.03064
2.96694,0.34427,0.02414
2.96762,0.33039,0.02898
2.9683,0.30135,0.03013
2.96898,0.23395,0.03013
2.96966,0.25498,0.02943
2.97034,0.34033,0.02815
2.97101,0.35146,0.02768
2.97169,0.30147,0.02857
2.97237,0.30496,0.02781
